x,y
38.65939253,8.90639956
38.65942746,8.98697258
38.6594685,8.89808126
38.65950651,8.93610412
38.65955585,8.90880186
38.65963902,8.95377635
38.65964003,9.06249188
38.65965081,8.90675996
38.65968086,8.91284864
38.65985216,8.85602249
38.6598857,9.0876418
38.65990236,8.92688879
38.65992846,8.85816501
38.65998403,8.96556623
38.65998438,8.8809633
38.66000001,9.05437322
38.66000666,8.86887753
38.66006916,8.88212424
38.66012464,8.85668869
38.66013117,9.06148964
38.66013173,9.01832237
38.66014369,8.89071216
38.66018864,9.045485
38.66019955,8.98542718
38.66022367,8.92460831
38.66023449,8.94711951
38.6602399,9.00815054
38.66027662,9.05441445
38.66030352,8.90543511
38.66033779,9.0767645
38.66036051,8.99143949
38.66042959,8.92047544
38.66046314,8.8810877
38.66046882,8.86746249
38.66048134,8.96380213
38.66049485,9.0068181
38.6605055,8.85505712
38.66052902,8.98457669
38.66053438,8.91748205
38.66057239,8.93277777
38.66057461,8.99377527
38.66058713,8.9591641
38.66062242,9.01901853
38.66064404,9.02901447
38.66067307,8.84730102
38.66067799,8.91302555
38.66075307,9.03950944
38.66079796,8.95253916
38.66079991,8.97986896
38.66081166,9.06389699
38.6608156,9.08057821
38.66083281,8.91560979
38.66088327,8.94773541
38.66088707,9.03404756
38.66098823,8.96292628
38.66099511,9.06475153
38.66100937,8.96399293
38.66101318,8.94334723
38.66104237,9.04172486
38.66105083,8.87637377
38.66107051,8.99797961
38.66109549,8.97223651
38.66112678,9.02952929
38.66114301,8.8441488
38.66115424,8.93752775
38.66122717,8.93280993
38.66123003,9.00011575
38.66125268,9.00409497
38.66125945,8.84606032
38.66125984,8.95340505
38.66128946,9.0537003
38.66131487,8.91105056
38.66137097,8.92172771
38.66141114,8.9000609
38.66146016,8.97013855
38.6615362,8.86225975
38.66155869,8.98510392
38.6615637,8.97606788
38.66165921,8.84880649
38.66166533,8.88240818
38.66167241,8.97751093
38.66173047,8.88517928
38.66175796,9.02824144
38.66177342,9.03066082
38.66181395,9.00513287
38.66186164,8.91275926
38.6618948,9.04696388
38.66192372,8.84013405
38.66198589,8.98113118
38.66204953,8.92056461
38.66205673,8.9362332
38.66210439,9.07547991
38.66219404,8.87116101
38.66222894,9.01013601
38.66223048,9.06732975
38.66224951,8.89062643
38.66228502,9.04399622
38.66235807,8.87001848
38.66242867,8.85166867
38.66243894,9.07564392
38.66247557,9.07428503
38.66250281,8.89254697
38.66250371,8.85425021
38.66262774,8.98939298
38.66264742,8.89675981
38.6626633,8.95746635
38.66269068,8.87438973
38.66269173,8.95624864
38.66270121,9.07213009
38.66272817,8.92721218
38.6627986,8.90033317
38.66280815,9.06217577
38.66281773,9.03044572
38.66283157,8.84052393
38.6628362,8.97513599
38.66284885,8.84884358
38.6628786,9.01612923
38.66298692,8.94213956
38.66300166,9.02585296
38.66309567,8.88143323
38.66313614,8.93080952
38.6631505,9.03159254
38.66316027,9.09014033
38.66319488,8.8414457
38.66320077,8.98699615
38.66321359,8.91647628
38.66322868,8.9942076
38.66323358,9.03833792
38.66325428,8.98494662
38.66325537,8.93567015
38.66329986,8.87455708
38.66332321,8.86876802
38.66332462,8.86655734
38.66334096,9.00267429
38.66335122,9.05101444
38.66336974,9.07298606
38.66338335,9.08968127
38.66341974,9.06200482
38.66342449,9.03782132
38.66343359,9.03389168
38.6634627,9.02946839
38.66346778,8.91863978
38.66347899,8.94974228
38.66347917,8.91753045
38.6634927,8.89482675
38.66350377,9.02954182
38.66350997,8.84120876
38.66353882,8.94311775
38.66357689,8.85910849
38.66358176,8.88136145
38.66359393,8.8741341
38.66361904,9.07089544
38.66369897,8.9360684
38.66376902,8.971532
38.6638222,9.03036252
38.66382767,8.93385275
38.66384225,9.02115871
38.66384738,8.83685341
38.66393284,9.04114097
38.66393829,8.91433846
38.66393967,9.07550672
38.66395759,9.07626802
38.66400133,9.04633805
38.66400453,9.07448237
38.66402059,8.99532007
38.66405065,8.84057981
38.6640765,8.87249876
38.66412511,8.89571833
38.66416691,8.85393269
38.66419107,8.90095025
38.66420057,8.96487377
38.6642283,8.97389111
38.66427269,9.00540754
38.66427468,8.98227444
38.66431841,8.99290287
38.6643512,8.84803036
38.6643534,8.87442759
38.66435877,9.0483107
38.66441187,8.95037948
38.66441925,8.98121498
38.66441998,9.02095078
38.66447854,8.93683275
38.66449911,8.98623104
38.66455052,8.92908544
38.66456856,8.95860398
38.66458267,8.83832253
38.66465103,9.06408606
38.66467838,8.8787505
38.66470436,8.88561657
38.66477616,8.97495089
